pp_nr,pp_id,session,block,trial,dis_pos_rel,filler2_pos,dis_pos_cont,tar_shape,t_search_on,tar_col_name,tar_pos,filler1_pos,dis_pos,finger_on_shape,finger_on_target,dis_condition,finger_on_filler,t_trial_start,search_time,finger_on_start,long_start,t_on_start,interval_beforesearch,finger_on_distractor,max_search_time,reach_end_cutoff_t,nr_trials,nr_blocks,min_dist_start,min_dist_shape
01,tn,practice,0,0,-2,2,2,diamond,149.6665295,red,3,0,1,-1,0,same,0,148.7794278,1.0000035,1,0,148.8634703,0.8,0,1,1,40,2,0.01,0.07
01,tn,practice,0,1,2,2,2,diamond,152.2658185,blue,1,0,3,-1,0,same,0,151.4117195,1.0104662,1,0,151.4557644,0.8,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,2,-2,2,2,diamond,155.0646377,blue,3,0,1,3,1,different,0,154.0216989,0.7885824,1,0,154.0599987,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,3,-1,1,3,diamond,157.8967633,red,3,0,2,3,1,same,0,156.8538475,0.6439009,1,0,156.8912812,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,4,-2,2,2,diamond,160.3845636,red,3,0,1,3,1,different,0,159.5413754,0.6661622,1,0,159.577692,0.8,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,5,-1,3,3,sphere,163.0835271,red,2,0,1,2,1,same,0,162.0514008,0.6218711,1,0,162.0729955,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,6,-2,2,2,sphere,165.7377901,blue,3,0,1,3,1,same,0,164.705755,0.5440976,1,0,164.7275011,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,7,-2,3,2,diamond,168.3254026,red,2,1,0,2,1,different,0,167.2823851,0.6220624,1,0,167.3199932,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,8,1,1,1,diamond,170.7907475,red,2,0,3,2,1,different,0,169.9478522,0.6330502,1,0,169.9851884,0.8,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,9,1,1,1,diamond,173.467254,blue,2,0,3,2,1,different,0,172.4245092,0.6332834,1,0,172.4637746,1.0,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,10,-1,3,3,diamond,176.0430135,red,2,0,1,2,1,different,0,175.1010618,0.678151,1,0,175.1373801,0.9,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,11,-1,3,3,sphere,178.6542498,blue,2,0,1,2,1,same,0,177.7221885,0.6440063,1,0,177.7439092,0.9,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,12,-1,3,3,sphere,181.3307031,red,2,0,1,1,0,different,0,180.2987979,0.6330787,1,0,180.3202917,1.0,1,1,1.0,40,2,0.01,0.07
01,tn,practice,0,13,1,1,1,sphere,183.7961799,blue,2,0,3,2,1,different,0,182.9642131,0.6553159,1,0,182.9858158,0.8,0,1,1.0,40,2,0.01,0.07
01,tn,practice,0,14,2,3,2,diamond,186.4060886,blue,0,1,2,0,1,same,0,185.4519733,0.6996853,1,0,185.4961078,0.9,0,1,1.0,40,2,0.01,0.07
